id,trisomic,age_in_months,protein_ug_per_ml,diet,color,sex,date_of_birth,age_in_days,experiment_start_date,harvest_date,group_number,harvest_brain_temp,weight_in_grams
4555-0,Yes,6,,Rapa,Agouti,Male,6/19/2011,184,10/17/2011,12/20/2011,6,93.2,n/a
4555-1,Yes,6,,Rapa,Agouti,Male,6/19/2011,184,10/17/2011,12/20/2011,6,89.3,n/a
4565-1,No,6,,Cont,Agouti,Male,7/5/2011,184,11/2/2011,1/5/2012,6,CD,n/a
4565-B,Yes,6,,Cont,Black,Male,7/5/2011,184,11/2/2011,1/5/2012,6,87.5,n/a
4567-0,No,f,,Cont,Agouti,Male,7/5/2011,184,11/2/2011,1/5/2012,6,88.5,n/a
4567-1,No,6,,Cont,Agouti,Male,7/5/2011,184,11/2/2011,1/5/2012,6,92.4,n/a
4567-B,Yes,6,,Cont,Black,Male,7/5/2011,184,11/2/2011,1/5/2012,6,93,n/a
4568-0,Yes,6,,Cont,Agouti,Male,7/5/2011,184,11/2/2011,1/5/2012,6,84.9,n/a
4568-1,Yes,6,,Cont,Agouti,Male,7/5/2011,184,11/2/2011,1/5/2012,6,92.8,n/a
4568-2,No,6,,Cont,Agouti,Male,7/5/2011,184,11/2/2011,1/5/2012,6,84.3,n/a
4572-0,No,6,,Rapa,Agouti,Male,7/10/2011,184,11/7/2011,1/10/2012,6,87.1,39.8
4572-1,No,6,,Rapa,Agouti,Male,7/10/2011,184,11/7/2011,1/10/2012,6,85.8,38.0
4572-2,No,6,,Rapa,Agouti,Male,7/10/2011,184,11/7/2011,1/10/2012,6,90.1,39.6
4577-0,No,6,,Cont,Agouti,Male,7/15/2011,184,11/12/2011,1/15/2012,6,84.1,44.6
4577-1,No,6,,Cont,Agouti,Male,7/15/2011,184,11/12/2011,1/15/2012,6,91.4,38.6
4577-2,No,6,,Cont,Agouti,Male,7/15/2011,184,11/12/2011,1/15/2012,6,87.2,41.3
4589-0,Yes,6,,Rapa,Agouti,Male,7/25/2011,184,11/22/2011,1/25/2012,6,90.7,38.3
4589-1,Yes,6,,Rapa,Agouti,Male,7/25/2011,184,11/22/2011,1/25/2012,6,88.4,38.1
4589-2,No,6,,Rapa,Agouti,Male,7/25/2011,184,11/22/2011,1/25/2012,6,CD,44.4
4590-0,Yes,6,,Rapa,Agouti,Male,7/25/2011,184,11/22/2011,1/25/2012,6,88.6,30.0
4590-1,No,6,,Rapa,Agouti,Male,7/25/2011,184,11/22/2011,1/25/2012,6,91.3,26.5
4590-2,No,6,,Rapa,Agouti,Male,7/25/2011,184,11/22/2011,1/25/2012,6,89.6,31.3
4594-0,Yes,6,,Rapa,Agouti,Male,7/31/2011,184,11/28/2011,1/31/2012,6,90.7,33.7
4594-1,No,6,,Rapa,Agouti,Male,7/31/2011,184,11/28/2011,1/31/2012,6,85.6,48.6
4594-B,Yes,6,,Rapa,Black,Male,7/31/2011,184,11/28/2011,1/31/2012,6,92.2,39.4
4595-0,Yes,6,,Rapa,Agouti,Male,7/31/2011,184,11/28/2011,1/31/2012,6,92.6,31.2
4595-1,No,6,,Rapa,Agouti,Male,7/31/2011,184,11/28/2011,1/31/2012,6,CD,47.3
4604-0,Yes,6,,Cont,Agouti,Male,8/11/2011,184,12/9/2011,2/11/2012,6,92.1,39.8
4604-1,Yes,6,,Cont,Agouti,Male,8/11/2011,184,12/9/2011,2/11/2012,6,87.7,37.0
4604-2,No,6,,Cont,Agouti,Male,8/11/2011,184,12/9/2011,2/11/2012,6,89.1,40.0
4614-0,Yes,6,,Rapa,Agouti,Male,8/17/2011,184,12/15/2011,2/17/2012,6,92,33.5
4614-1,No,6,,Rapa,Agouti,Male,8/17/2011,184,12/15/2011,2/17/2012,6,89.7,38.4
4614-2,No,6,,Rapa,Agouti,Male,8/17/2011,184,12/15/2011,2/17/2012,6,91.5,33.7
4614-B,Yes,6,,Rapa,Black,Male,8/17/2011,184,12/15/2011,2/17/2012,6,93,33.9
4616-0,Yes,6,,Cont,Agouti,Male,8/19/2011,184,12/17/2011,2/19/2012,6,88.7,38.9
4616-1,No,6,,Cont,Agouti,Male,8/19/2011,184,12/17/2011,2/19/2012,6,92.5,50.5
4620-0,No,6,,Rapa,Agouti,Male,8/22/2011,184,12/20/2011,2/22/2012,6,87,35.7
4620-1,No,6,,Rapa,Agouti,Male,8/22/2011,184,12/20/2011,2/22/2012,6,86.1,39.2
4620-2,Yes,6,,Rapa,Black,Male,8/22/2011,184,12/20/2011,2/22/2012,6,89.4,39.9
4620-3,No,6,,Rapa,Black,Male,8/22/2011,184,12/20/2011,2/22/2012,6,85.5,36.7
4626-0,Yes,6,,Cont,Agouti,Male,8/24/2011,184,12/22/2011,2/24/2012,6,88.4,30.1
4626-1,No,6,,Cont,Agouti,Male,8/24/2011,184,12/22/2011,2/24/2012,6,94,44.1
4626-2,Yes,6,,Cont,Black,Male,8/24/2011,184,12/22/2011,2/24/2012,6,90.9,34.6
4626-3,No,6,,Cont,Black,Male,8/24/2011,184,12/22/2011,2/24/2012,6,86.9,42.7
4649-0,Yes,6,,Cont,Agouti,Male,9/9/2011,184,1/7/2012,3/11/2012,6,91.1,n/a
4649-1,No,6,,Cont,Agouti,Male,9/9/2011,184,1/7/2012,3/11/2012,6,87.3,n/a
4664-0,No,6,,Rapa,Black,Male,9/23/2011,184,1/21/2012,3/25/2012,6,89.7,37.0
4664-A,Yes,6,,Rapa,Agouti,Male,9/23/2011,184,1/21/2012,3/25/2012,6,91.3,34.3
